date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:26:42	13/13	---M--	200	added ('OK')	text/plain	etag:%225acac998-d%22	http://fsocy.com/robots.txt		(from )
15:26:43	65178/65178	---MCZ	200	added ('OK')	text/html	etag:W/%22008ff918e1524010aec4a4be32b82a03%22	http://fsocy.com/	C:/Users/Dgn/Desktop/ocy/fsocy.com/index.html	(from )
15:26:43	18278/18278	---MCZ	200	added ('OK')	text/css	date:Thu,%2003%20Jan%202019%2005:12:01%20GMT	../static.websiteonline.cn/website/template/default/css/default.css?v=15464922	C:/Users/Dgn/Desktop/ocy/static.websiteonline.cn/website/template/default/css/default4fb8.css	(from http://fsocy.com/)
15:26:43	64/64	---M--	200	added ('OK')	text/css	date:Fri,%2015%20Aug%202014%2006:46:11%20GMT	../static.websiteonline.cn/website/plugin/media/css/media.css?v=14077216	C:/Users/Dgn/Desktop/ocy/static.websiteonline.cn/website/plugin/media/css/media188c.css	(from http://fsocy.com/)
15:26:43	1158/1158	---MCZ	200	added ('OK')	text/css	date:Thu,%2019%20May%202016%2003:29:00%20GMT	../static.websiteonline.cn/website/plugin/title/css/title.css?v=14636284	C:/Users/Dgn/Desktop/ocy/static.websiteonline.cn/website/plugin/title/css/title13eb.css	(from http://fsocy.com/)
15:26:44	6126/6126	---MCZ	200	added ('OK')	text/css	date:Thu,%2020%20Jul%202017%2002:12:00%20GMT	../static.websiteonline.cn/website/plugin/unslider/css/unslider.css?v=15005166	C:/Users/Dgn/Desktop/ocy/static.websiteonline.cn/website/plugin/unslider/css/unsliderceec.css	(from http://fsocy.com/)
15:26:44	5190/5190	---MCZ	200	added ('OK')	text/css	date:Wed,%2011%20Oct%202017%2001:12:00%20GMT	../static.websiteonline.cn/website/plugin/effectimage/css/effectimage.css?v=15076842	C:/Users/Dgn/Desktop/ocy/static.websiteonline.cn/website/plugin/effectimage/css/effectimage107b.css	(from http://fsocy.com/)
15:26:44	66/66	---M--	200	added ('OK')	text/css	date:Fri,%2015%20Aug%202014%2006:46:10%20GMT	../static.websiteonline.cn/website/plugin/graphic/css/graphic.css?v=14077216	C:/Users/Dgn/Desktop/ocy/static.websiteonline.cn/website/plugin/graphic/css/graphic188c.css	(from http://fsocy.com/)
15:26:44	16465/16465	---MCZ	200	added ('OK')	text/css	etag:9d0c769fe72ddcbef19cecf68bcde4d4	http://fsocy.com/9d0c769fe72ddcbef19cecf68bcde4d4.cssx	C:/Users/Dgn/Desktop/ocy/fsocy.com/9d0c769fe72ddcbef19cecf68bcde4d4.css	(from http://fsocy.com/)
15:26:45	43/43	---M--	200	added ('OK')	image/gif	date:Fri,%2015%20Aug%202014%2006:46:11%20GMT	../static.websiteonline.cn/website/template/default/images/blank.gif	C:/Users/Dgn/Desktop/ocy/static.websiteonline.cn/website/template/default/images/blank.gif	(from http://fsocy.com/)
15:26:45	16301/16301	---MCZ	200	added ('OK')	image/png	date:Fri,%2010%20Mar%202017%2002:39:14%20GMT	../hk8db36e.pic30.websiteonline.cn/upload/logo2.png	C:/Users/Dgn/Desktop/ocy/hk8db36e.pic30.websiteonline.cn/upload/logo2.png	(from http://fsocy.com/)
15:26:49	518665/518665	---MCZ	200	added ('OK')	application/x-javascript	date:Wed,%2008%20May%202019%2006:22:01%20GMT	../static.websiteonline.cn/website/script/??jquery-1.6.4.js,jquery.custom.js,jquery.lazyload.js,jquery.rotateutility.js,lab.js,wopop_all.js,jquery.cookie.js,jquery.simplemodal.js,fullcollumn.js,objectFitPolyfill.min.js,ierotate.js,effects/velocity.js,effects/velocity.ui.js,effects/effects.js,fullpagescroll.js,common.js,heightAdapt.js?v=15572964	C:/Users/Dgn/Desktop/ocy/static.websiteonline.cn/website/script/indexb8f9.html	(from http://fsocy.com/)
15:26:49	1617/1617	---MCZ	200	added ('OK')	image/jpeg	date:Wed,%2017%20Feb%202016%2008:11:00%20GMT	../static.websiteonline.cn/website/plugin/multilingual/styles/custom4/images/sitestar-lan-ver-chines1.jpg	C:/Users/Dgn/Desktop/ocy/static.websiteonline.cn/website/plugin/multilingual/styles/custom4/images/sitestar-lan-ver-chines1.jpg	(from http://fsocy.com/)
15:26:49	33897/33897	---MCZ	200	added ('OK')	application/x-javascript	date:Wed,%2025%20Jul%202018%2001:32:01%20GMT	../static.websiteonline.cn/website/plugin/??media/js/init.js,new_navigation/js/overall.js,new_navigation/styles/hs10/init.js,unslider/js/init.js,effectimage/js/init.js?v=15324822	C:/Users/Dgn/Desktop/ocy/static.websiteonline.cn/website/plugin/index068e.html	(from http://fsocy.com/)
15:26:49	2643/2643	---MCZ	200	added ('OK')	image/jpeg	date:Wed,%2013%20Dec%202017%2007:54:00%20GMT	../static.websiteonline.cn/website/plugin/multilingual/styles/custom4/images/sitestar-lan-ver-english1.jpg	C:/Users/Dgn/Desktop/ocy/static.websiteonline.cn/website/plugin/multilingual/styles/custom4/images/sitestar-lan-ver-english1.jpg	(from http://fsocy.com/)
